id,task_str,file,mean_accuracy,median_accuracy,p80_accuracy,mean_precision,median_precision,p80_precision
003,sp,D:\python_projects\smartphone_psychiatry_assement\schizophrenia_detection/data_phone/batch_0\003\calibration_sp_2023_12_28_14_17_39\Optional(1)_Optional(5).csv,1.9436011451951762,1.6345711339279694,2.7472712108527615,0.21258210071900463,0.22800061608668046,0.30875328826754983
003,fv,D:\python_projects\smartphone_psychiatry_assement\schizophrenia_detection/data_phone/batch_0\003\calibration_fv_2023_12_28_14_10_50\Optional(1)_Optional(5).csv,1.9023404167267008,1.9209670046658025,2.4910110989620637,0.2811827322554371,0.25395253765360526,0.39689743664673
003,fs,D:\python_projects\smartphone_psychiatry_assement\schizophrenia_detection/data_phone/batch_0\003\calibration_fs_2023_12_28_14_16_30\Optional(1)_Optional(5).csv,3.039511117068189,3.6097194723771153,4.769722412035858,0.3687876698538809,0.282600433452262,0.3244317689386893
019,sp,D:\python_projects\smartphone_psychiatry_assement\schizophrenia_detection/data_phone/batch_0\019\calibration_sp_2024_01_04_11_11_24\Optional(1)_Optional(5).csv,1.6107482610345345,1.5020201816755356,2.220758068501264,0.1746500673429514,0.12858431716947105,0.250132823080256
019,fv,D:\python_projects\smartphone_psychiatry_assement\schizophrenia_detection/data_phone/batch_0\019\calibration_fv_2024_01_04_11_12_37\Optional(1)_Optional(5).csv,1.155595904986294,1.109065542315049,1.3683683330174308,0.12636147124346592,0.13978378074742542,0.16001012943572865
019,fs,D:\python_projects\smartphone_psychiatry_assement\schizophrenia_detection/data_phone/batch_0\019\calibration_fs_2024_01_04_11_09_55\Optional(1)_Optional(5).csv,1.2410749183481145,1.307870821474138,1.7265698360409703,0.15011066026802872,0.11504440802107091,0.16060146655982496
020,sp,D:\python_projects\smartphone_psychiatry_assement\schizophrenia_detection/data_phone/batch_0\020\calibration_sp_2024_01_04_14_15_02\Optional(1)_Optional(5).csv,1.6599905354362008,1.2714854968530402,2.7678402774021396,0.18600138700861188,0.18143957228391866,0.2341444504380758
020,fv,D:\python_projects\smartphone_psychiatry_assement\schizophrenia_detection/data_phone/batch_0\020\calibration_fv_2024_01_04_14_18_11\Optional(1)_Optional(5).csv,1.1201793266393996,1.0518124058067426,1.3550814045278774,0.2133631542917316,0.20826314159286544,0.3376147391489156
020,fs,D:\python_projects\smartphone_psychiatry_assement\schizophrenia_detection/data_phone/batch_0\020\calibration_fs_2024_01_04_14_13_26\Optional(1)_Optional(5).csv,2.84765612181303,3.3682362347706674,4.107269560557889,0.15282197388787006,0.13888184587683233,0.18163839466964607
001,sp,D:\python_projects\smartphone_psychiatry_assement\schizophrenia_detection/data_phone/batch_0\001\calibration_sp_2023_12_28_10_41_08\Optional(1)_Optional(5).csv,1.3143498765772748,1.0983190028107543,1.7418374859876695,0.3147709561020413,0.2891072380780484,0.4066806576464138
